,Unnamed: 0.1,Unnamed: 0,Region,Country,State,City,Month,Day,Year,AvgTemperature
325,4708,2046117,North America,US,Massachusetts,Boston,11,22,2007,48.3
326,4709,2046118,North America,US,Massachusetts,Boston,11,23,2007,40.9
327,4710,2046119,North America,US,Massachusetts,Boston,11,24,2007,27.9
328,4711,2046120,North America,US,Massachusetts,Boston,11,25,2007,36.1
329,4712,2046121,North America,US,Massachusetts,Boston,11,26,2007,42.5
330,4713,2046122,North America,US,Massachusetts,Boston,11,27,2007,54.8
331,4714,2046123,North America,US,Massachusetts,Boston,11,28,2007,41.4
332,4715,2046124,North America,US,Massachusetts,Boston,11,29,2007,42.7
333,4716,2046125,North America,US,Massachusetts,Boston,11,30,2007,39.1
334,4717,2046126,North America,US,Massachusetts,Boston,12,1,2007,31.0
335,4718,2046127,North America,US,Massachusetts,Boston,12,2,2007,21.9
336,4719,2046128,North America,US,Massachusetts,Boston,12,3,2007,33.7
337,4720,2046129,North America,US,Massachusetts,Boston,12,4,2007,27.0
338,4721,2046130,North America,US,Massachusetts,Boston,12,5,2007,27.7
339,4722,2046131,North America,US,Massachusetts,Boston,12,6,2007,26.4
340,4723,2046132,North America,US,Massachusetts,Boston,12,7,2007,30.0
341,4724,2046133,North America,US,Massachusetts,Boston,12,8,2007,34.4
342,4725,2046134,North America,US,Massachusetts,Boston,12,9,2007,33.3
343,4726,2046135,North America,US,Massachusetts,Boston,12,10,2007,32.0
344,4727,2046136,North America,US,Massachusetts,Boston,12,11,2007,31.4
345,4728,2046137,North America,US,Massachusetts,Boston,12,12,2007,41.7
346,4729,2046138,North America,US,Massachusetts,Boston,12,13,2007,27.8
347,4730,2046139,North America,US,Massachusetts,Boston,12,14,2007,30.2
348,4731,2046140,North America,US,Massachusetts,Boston,12,15,2007,26.1
349,4732,2046141,North America,US,Massachusetts,Boston,12,16,2007,30.0
350,4733,2046142,North America,US,Massachusetts,Boston,12,17,2007,27.5
351,4734,2046143,North America,US,Massachusetts,Boston,12,18,2007,23.6
352,4735,2046144,North America,US,Massachusetts,Boston,12,19,2007,30.2
353,4736,2046145,North America,US,Massachusetts,Boston,12,20,2007,32.3
354,4737,2046146,North America,US,Massachusetts,Boston,12,21,2007,27.1
355,4738,2046147,North America,US,Massachusetts,Boston,12,22,2007,29.9
356,4739,2046148,North America,US,Massachusetts,Boston,12,23,2007,38.6
357,4740,2046149,North America,US,Massachusetts,Boston,12,24,2007,44.0
358,4741,2046150,North America,US,Massachusetts,Boston,12,25,2007,37.7
359,4742,2046151,North America,US,Massachusetts,Boston,12,26,2007,34.8
360,4743,2046152,North America,US,Massachusetts,Boston,12,27,2007,37.2
361,4744,2046153,North America,US,Massachusetts,Boston,12,28,2007,39.4
362,4745,2046154,North America,US,Massachusetts,Boston,12,29,2007,40.7
363,4746,2046155,North America,US,Massachusetts,Boston,12,30,2007,38.6
364,4747,2046156,North America,US,Massachusetts,Boston,12,31,2007,36.4
365,4748,2046157,North America,US,Massachusetts,Boston,1,1,2008,34.6
366,4749,2046158,North America,US,Massachusetts,Boston,1,2,2008,31.8
367,4750,2046159,North America,US,Massachusetts,Boston,1,3,2008,11.0
368,4751,2046160,North America,US,Massachusetts,Boston,1,4,2008,16.9
369,4752,2046161,North America,US,Massachusetts,Boston,1,5,2008,32.5
370,4753,2046162,North America,US,Massachusetts,Boston,1,6,2008,39.7
371,4754,2046163,North America,US,Massachusetts,Boston,1,7,2008,43.8
372,4755,2046164,North America,US,Massachusetts,Boston,1,8,2008,52.9
373,4756,2046165,North America,US,Massachusetts,Boston,1,9,2008,54.7
374,4757,2046166,North America,US,Massachusetts,Boston,1,10,2008,45.6
375,4758,2046167,North America,US,Massachusetts,Boston,1,11,2008,41.6
376,4759,2046168,North America,US,Massachusetts,Boston,1,12,2008,44.5
377,4760,2046169,North America,US,Massachusetts,Boston,1,13,2008,38.5
378,4761,2046170,North America,US,Massachusetts,Boston,1,14,2008,34.0
379,4762,2046171,North America,US,Massachusetts,Boston,1,15,2008,29.7
380,4763,2046172,North America,US,Massachusetts,Boston,1,16,2008,28.5
381,4764,2046173,North America,US,Massachusetts,Boston,1,17,2008,27.5
